t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,mu_0,nu_0,tau_0,mu_1,nu_1,tau_1,mu_2,nu_2,tau_2
1.21346,0.3671569044623707,1.9405919798082705,3.2251290825482597,0.5603812157718453,-0.3065200561395612,0.5911539742216111,-0.49249905729006654,8.697976909296395,10.587258610914194,-2.07668816044993,0.1188720789747618,1.313060647809307,0.2999575382468934,30.438998837003208,-7.921125466348273,-6.643456745866904,-97.1389903670975,-0.2324356603448442,0.0014183950624543696,6.556405883402513,6.879260613591397,6.879251805961861,6.556348850340854,0.007629648213929974,0.0006768237992667315,0.07412837114384029,0.9968335305206881,9.490770120659958e-05,0.04637298605811378,0.9968643474191428,8.360362975999942e-05,0.04544199260493773
1.23773,0.5872169453716469,2.1952353011859236,3.1728279891144178,0.5487532129140648,-0.3036366065501462,0.6074050349604087,-0.487579572024507,9.436707706297325,10.395019064527197,-2.2379196819922673,-2.238615568960523,1.3074196153450839,0.29999196159046526,27.562698565383663,-6.175821448760901,-7.944167967104009,1.0359979600139226,-515.6737330445238,8.119151456724576e-05,6.879250259960158,6.879260540209625,5.161911391745628,5.161898350984666,0.007054633963890055,0.0005750142500399187,0.07001675781178544,0.9967324349636417,0.00010109555704642451,0.04652257353655054,0.9967799641818843,8.438323725853647e-05,0.04547350334754444
1.262,0.82431927342893,2.4455161826020784,3.116183678476666,0.57793875168092,-0.34441109680456844,0.5876053355352046,-0.44953992501103174,10.105632935662946,10.245136687468447,-2.4307184519279534,-2.2134727052681056,-11.20758029790208,0.29999393204529484,30.848539964168886,0.6212462946484935,-6.610071291486972,2.7493111189327446,-155.82352149921843,2.675347660117984e-05,6.879255824225074,6.879259750438152,6.36137563957132,6.361370803740037,0.0065614224295665,0.0004932115343235541,0.06590305405181276,0.9966242430547867,0.00010819190885497954,0.046716752791292906,0.9966947263370124,8.523784487187206e-05,0.045498441767996216
1.28627,1.0786836252306315,2.6938612563730664,3.0551465117774046,0.6561004676931744,-0.4240472710149571,0.5016891901835316,-0.3715119154959686,10.854302976884615,10.260213851235793,-2.591139734491854,-2.146749065474023,-14.989295815058759,0.29999458133133733,29.57283706683093,11.42676342174651,-4.218447583724087,3.145583820240121,-0.44068697244633204,-0.00016474129551391188,6.8792381983526765,6.879251733086472,6.87925594763509,6.879248014105341,0.006135336655423639,0.000426085774142862,0.062048960146590254,0.9965078305186005,0.0001164125361862661,0.046965308808165955,0.9966085751109696,8.615122604277187e-05,0.04551965332478773
1.31054,1.3510409601761,2.9457102625829026,2.990911901235788,0.726388552049945,-0.49898651110298475,0.3855318652692767,-0.2733749071042791,11.572012702258403,10.537532500738358,-2.69351817217696,-2.07040819582182,-14.99999094468922,0.29999058318838967,22.29033159475651,20.481680438025485,-3.0769365993975555,-146.5521743805247,-0.00018774029573423212,0.00022403791757273173,6.377556145386083,6.876558288122704,6.87925554789302,6.380245787867203,0.005765661473057207,0.000369675182366432,0.058621592417672196,0.9963817521851105,0.000126078333490002,0.0472854681420046,0.9965215135329507,8.706157801875847e-05,0.04553812249432316
1.33481,1.638836840073561,3.207061328641066,2.9246309296994255,0.7608297964821101,-0.5724990443628324,0.2611501499412859,-0.15868122091111392,12.11298169117245,11.034606934589565,-2.768193027239245,-5.6271153385920565,-14.999995500999992,0.29999602041417667,2.9997290120475313,6.155463585903753,-7.967416644575884,849.9246792080605,2.431783702151499e-05,-12.008819036596558,2.8282145655732425,0.2046832092210024,1.309741029772578e-05,3.031844301006821,0.005444101030117077,0.0003215604429401296,0.05571221698333104,0.9962442220415014,0.00013753014360903348,0.04770036181509363,0.9964336725595987,8.784097335209955e-05,0.04555322861453988
1.35908,1.9338059520546875,3.4766399804603707,2.8550432299502684,0.8281926600895096,-0.5452049352461663,0.11519996890251366,-0.05993633944019661,12.185782778216181,11.183995242170727,-2.9615560244719585,14.999894735696733,-14.999994910825025,0.008551334422713547,0.03930787634185375,0.4145368272732675,-9.523805002407181,0.0036873771713592527,6.44567575176274e-05,12.008709659485097,0.2095508616836498,0.010792263169074306,0.20954325543132218,5.725523404461575e-06,0.005163155718557686,0.00028094531155939124,0.05337572570317125,0.9960932924333828,0.00015092960811865995,0.04823179846080325,0.9963453002875718,8.837227202679894e-05,0.04556400451809426
1.38335,2.2295658682625925,3.748193269314796,2.780356080489217,0.91981565151075,-0.3888954038628129,-0.047596034954183235,0.02109605188179435,12.186736749763469,11.19405572814261,-3.1926913550912084,14.999984225469088,-14.999993346509717,0.2999933659168604,-0.013631400249583177,0.02691909211245861,-9.762530101464876,0.0003406023612167311,0.0002406339516284054,-4.5030602828790454e-05,0.010504195493454795,0.021003567639511236,0.010503863681197784,6.0225756371307e-06,0.004915994655840247,0.00024716106271743945,0.05157811751854182,0.9959268940736861,0.00016639835969677443,0.048904090733580055,0.9962566634442608,8.863684331111573e-05,0.04557048757360957
1.40761,2.525325262278918,4.019873086333101,2.6999965785512723,0.9508643787016393,-0.2068788151901357,-0.20640462681655453,0.10228442373897571,12.186405926295045,11.19470903354458,-3.4296203579542586,14.999992491623146,-14.999987506511108,0.2999922730591979,-0.027468719451968302,0.006270807373915953,-9.760990783955503,4.935026370169186e-05,0.0012455509880785168,0.0001750354587954383,0.010513191535549906,0.021009836066893994,0.010517164500436483,1.4568763493493029e-05,0.004697064573121928,0.00021893008271831925,0.05020876036420929,0.9957425899712307,0.00018430410245528784,0.04975726868635445,0.9961680212729274,8.864217133336912e-05,0.04557296612199557
1.43188,2.8210722743654153,4.29156290177593,2.6138879614488495,0.9192462830733124,-0.011228574983256022,-0.3516092658181539,0.17673140314351732,12.185739281865574,11.19486122115607,-3.66651200278012,14.999993689315614,-14.999957277958616,0.2999965210334717,-18.15801000502766,-8.548879336193345,8.946742078933266,-4.6887128893643826e-05,602.2835542309246,-0.0011919998637275366,4.8767599350809085,4.882164151738675,6.879252022731056,6.873888334068656,0.004501937066876126,0.00019512750624580186,0.04916268045031122,0.9955374324061878,0.00020515756504304843,0.050845824363387214,0.9960796332376409,8.838803528649074e-05,0.045571595041974104
1.45615,3.111405041599122,4.561254215091117,2.5277088912902976,0.8679116820628197,0.16836500438330776,-0.39742514189930483,0.2458437941060691,11.745058519834126,10.987386577219567,-3.4493815399181944,14.99999255140151,-0.38300445306184805,0.2999675921250647,-16.024619078503644,-20.269868284423165,9.403588339476604,-0.0005444984170126076,3.15931840332386,0.0010059271062584758,6.878984119022213,6.879210084152797,6.879258940359845,6.878998773707649,0.004326792754465313,0.00017514431241081365,0.04836766628138002,0.9953083137141157,0.00022911869207202916,0.05221044611061329,0.9959917933112425,8.78399263983424e-05,0.04556607839952481
1.48042,3.3913559697082603,4.82235654878309,2.4468927363341417,0.8205346191088143,0.32225693482629925,-0.35057691535960217,0.31618365847386753,11.356153494183001,10.495452659384771,-3.2211637740879526,14.999979336848964,-0.30633025577419126,0.29999200519255453,-7.477412262316608,-27.225819546330808,5.632945163409404,-2.326249246059494,3.1479581182967316,-0.00035822663265431724,6.871304704977626,6.879252626186521,6.879259912554536,6.8713241710511515,0.004168221056371587,0.00015857169809372517,0.047768830151172295,0.9950522275528209,0.00025608616129478085,0.05386997354827362,0.9959047393440207,8.705396722188868e-05,0.045557273537355475
1.50469,3.664305632397211,5.069313085244269,2.3706121974067416,0.7465088046304189,0.4649447759754451,-0.29150683247326775,0.3762673257477003,11.174682521710324,9.834703221462568,-3.084456581702592,14.943523079244484,-0.2299317637571706,0.29998331131115374,0.7486827587265101,-26.317099139578353,-0.22453264093535574,-548.6958129928782,126.54223147946347,-24.720764963634664,4.62966283359932,6.879258807011646,6.879259350466487,5.470169385817739,0.004023453300273083,0.00014476775609850346,0.04731315827380116,0.9947656710125716,0.00028655654024921595,0.055865139569196996,0.9958185634769345,8.617586708614822e-05,0.04554714553550169
1.52896,3.9354724675181108,5.30028288456258,2.295796255855862,0.7002707651489943,0.5311018553175009,-0.240772609269571,0.4118014892669791,11.19285246921801,9.196007720134206,-3.089905814040328,1.6271030020324941,2.841149647812132,-0.29997040273341863,3.715212955168119,-29.358355515363222,0.645388226121834,-125.97491479827876,-126.18643766209424,24.721031405761497,6.879244572168523,6.879260349850663,6.879253388666936,6.038722543188906,0.0038903615795013225,0.00013309172077176107,0.04695888829275744,0.9944440751440023,0.0003215958685692875,0.05825390527080541,0.9957332540053566,8.530947157796921e-05,0.04553707202839487
1.55323,4.208178756317458,5.514800748677753,2.2209609804448944,0.7033188765270179,0.525327455012701,-0.2291559169047663,0.4205486794766184,11.28301779436869,8.483503294984192,-3.0742427443969724,-1.4302100754898286,-0.22129692488876243,0.2999897776540766,3.3525232072006053,-30.13349751473127,1.5401767463442209,0.04498369113596169,-0.32530224747621683,0.0002047252600464996,6.879256165912972,6.8792604072433585,6.879180288232698,6.87916908624347,0.003767284986733408,0.00012307659276791455,0.046678035186557595,0.9940814990789767,0.00036257606502558196,0.06107489243732181,0.9956487471920128,8.450681334380755e-05,0.045527734398766596
1.5775,4.483046897108031,5.711811532516588,2.146782118650533,0.7101615940002367,0.5133573457070736,-0.2402491482505706,0.4176303340411708,11.364380921785637,7.752186777161605,-3.0368638541962203,-1.4291183563376035,-0.22919175710158032,0.2999947461767054,2.2834357520428594,-29.974382552179474,1.9244052887415652,0.0825609108304465,-13.584051469942008,-9.74667120709767e-07,6.8792592293594055,6.879259858898207,6.834979432781956,6.834978836381837,0.003652854044905658,0.00011443094182775018,0.04645281933911917,0.9936705184206917,0.0004109806582850781,0.06430019251956727,0.9955649506151423,8.379657687050064e-05,0.045519496490938186
1.60177,4.759578392147517,5.891121246782347,2.0736297370291346,0.7162638255598491,0.5020847659405056,-0.2527153872684021,0.413535918872786,11.419798129231909,7.024731855567268,-2.9901600364945464,-1.4271146673271504,-0.5588661075172353,0.2999947225222934,1.131878291847172,-30.032677472106826,2.225501009230181,0.1188089582828889,-0.31860441747690427,-3.211738717596267e-05,6.879260164683369,6.879258586807493,6.879193980610134,6.879196650477174,0.0035459303619530453,0.00010692368295261294,0.04627028148728071,0.9932018619218644,0.0004686564988273114,0.0678232637897762,0.9954817644664377,8.318614870453622e-05,0.045512447099291795
